file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,65,css,25fcaa6c,Aditya Surapaneni,2025-01-15,10:27:37,-08:00,2025-01-15T10:27:37-08:00,0,59
style.css,66,css,25fcaa6c,Aditya Surapaneni,2025-01-15,10:27:37,-08:00,2025-01-15T10:27:37-08:00,0,8
style.css,67,css,25fcaa6c,Aditya Surapaneni,2025-01-15,10:27:37,-08:00,2025-01-15T10:27:37-08:00,0,0
style.css,68,css,25fcaa6c,Aditya Surapaneni,2025-01-15,10:27:37,-08:00,2025-01-15T10:27:37-08:00,0,0
style.css,69,css,25fcaa6c,Aditya Surapaneni,2025-01-15,10:27:37,-08:00,2025-01-15T10:27:37-08:00,0,18
style.css,70,css,25fcaa6c,Aditya Surapaneni,2025-01-15,10:27:37,-08:00,2025-01-15T10:27:37-08:00,0,13
style.css,71,css,25fcaa6c,Aditya Surapaneni,2025-01-15,10:27:37,-08:00,2025-01-15T10:27:37-08:00,0,27
style.css,72,css,25fcaa6c,Aditya Surapaneni,2025-01-15,10:27:37,-08:00,2025-01-15T10:27:37-08:00,0,16
style.css,73,css,25fcaa6c,Aditya Surapaneni,2025-01-15,10:27:37,-08:00,2025-01-15T10:27:37-08:00,0,0
style.css,74,css,25fcaa6c,Aditya Surapaneni,2025-01-15,10:27:37,-08:00,2025-01-15T10:27:37-08:00,0,0
style.css,75,css,25fcaa6c,Aditya Surapaneni,2025-01-15,10:27:37,-08:00,2025-01-15T10:27:37-08:00,0,21
style.css,76,css,25fcaa6c,Aditya Surapaneni,2025-01-15,10:27:37,-08:00,2025-01-15T10:27:37-08:00,0,9
style.css,77,css,25fcaa6c,Aditya Surapaneni,2025-01-15,10:27:37,-08:00,2025-01-15T10:27:37-08:00,0,0
style.css,78,css,25fcaa6c,Aditya Surapaneni,2025-01-15,10:27:37,-08:00,2025-01-15T10:27:37-08:00,0,0
style.css,79,css,25fcaa6c,Aditya Surapaneni,2025-01-15,10:27:37,-08:00,2025-01-15T10:27:37-08:00,0,3
style.css,80,css,25fcaa6c,Aditya Surapaneni,2025-01-15,10:27:37,-08:00,2025-01-15T10:27:37-08:00,0,15
style.css,81,css,25fcaa6c,Aditya Surapaneni,2025-01-15,10:27:37,-08:00,2025-01-15T10:27:37-08:00,0,0
style.css,82,css,25fcaa6c,Aditya Surapaneni,2025-01-15,10:27:37,-08:00,2025-01-15T10:27:37-08:00,0,0
style.css,83,css,25fcaa6c,Aditya Surapaneni,2025-01-15,10:27:37,-08:00,2025-01-15T10:27:37-08:00,0,23
style.css,84,css,25fcaa6c,Aditya Surapaneni,2025-01-15,10:27:37,-08:00,2025-01-15T10:27:37-08:00,0,16
style.css,85,css,25fcaa6c,Aditya Surapaneni,2025-01-15,10:27:37,-08:00,2025-01-15T10:27:37-08:00,0,22
style.css,86,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,0
style.css,87,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,0
style.css,88,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,8
style.css,89,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,19
style.css,90,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,20
style.css,91,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,42
style.css,92,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,0
style.css,93,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,0
style.css,94,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,13
style.css,95,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,17
style.css,96,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,19
style.css,97,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,23
style.css,98,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,0
style.css,99,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,0
style.css,100,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,14
style.css,101,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,26
style.css,102,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,21
style.css,103,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,0
style.css,104,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,0
style.css,105,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,20
style.css,106,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,26
style.css,107,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,0
style.css,108,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,0
style.css,109,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,23
style.css,110,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,13
style.css,111,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,30
style.css,112,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,21
style.css,113,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,21
style.css,114,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,0
style.css,115,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,0
style.css,116,css,dd39f555,Aditya Surapaneni,2025-01-16,12:21:09,-08:00,2025-01-16T12:21:09-08:00,0,26
